t,vx,vy,s,ds
47,0.450432095761743,1.153478368740364,0.3607423169462314,-0.007048752809798053
48,0.440136634131879,1.123539597529855,0.3538070424838872,-0.006935274462344154
49,0.43018528436005565,1.093642203903893,0.3469777900767652,-0.006829252407122011
50,0.4205636362081311,1.0638139858182274,0.3402470063696896,-0.006730783707075638
51,0.41125807557712496,1.0340804480156456,0.33360698652447324,-0.006640019845216338
52,0.4022557378835965,1.00446496239285,0.32704981290748814,-0.006557173616985101
53,0.39354446536636567,0.9749889155828243,0.32056728522930406,-0.00648252767818408
54,0.3851127680941561,0.945671844672368,0.3141508400882486,-0.006416445141055438
55,0.3769497884865621,0.9165315618526467,0.307791457362653,-0.006359382725595608
56,0.36904526920357716,0.8875842686802821,0.30147955023742595,-0.0063119071252270564
57,0.36138952430421817,0.8588446605039233,0.29520483478779624,-0.006274715449629709
58,0.3539734136243243,0.8303260214816505,0.28895617390494643,-0.00624866088284981
59,0.34678832037971796,0.802040310471832,0.28272138883435893,-0.006234785070587501
60,0.3398261320666313,0.7739982379159864,0.27648702956565985,-0.006234359268699086
61,0.3330792248107216,0.7462093336354347,0.2702380925585371,-0.006248937007122757
62,0.3265404514147784,0.7186820052180436,0.2639576705168574,-0.0062804220416796674
63,0.3202031334812504,0.6914235863540416,0.2576265136971618,-0.006331156819695649
64,0.3140610581502087,0.664440374056717,0.2512224749092732,-0.0064040387878885885
65,0.3081084802125347,0.6377376531239023,0.24471979995330975,-0.006502674955963433
66,0.3023401306557452,0.6113197053819335,0.23808821022689403,-0.006631589726415726
67,0.296751233111446,0.5851898000848784,0.23129170225997006,-0.006796507966923965
68,0.2913375302528117,0.5593501601277804,0.2242869562086773,-0.007004746051292754
69,0.2860953230210927,0.5338018961658652,0.21702119569121736,-0.007265760517459946
70,0.2810215267735386,0.508544896804108,0.209429264470052,-0.00759193122116536
71,0.2761137502537105,0.4835776568736987,0.20142956371851353,-0.007999700751538469
72,0.2713704060401731,0.4588970159498787,0.19291829583723138,-0.008511267881282147
73,0.2667908654277686,0.4344977630148006,0.18376113040340428,-0.009157165433827108
74,0.2623756775818122,0.41037203557991697,0.17378083816769724,-0.009980292235707039
75,0.258126884171514,0.3865083931474154,0.16273842078424675,-0.011042417383450492
76,0.2540484800942229,0.3628903565583856,0.15030336738276892,-0.012435053401477825
77,0.2501471053430949,0.33949403648019344,0.13600496366499465,-0.014298403717774272
78,0.246433117011903,0.31628413690801294,0.11914892223955269,-0.01685604142544196
79,0.24292231559763092,0.29320690141114986,0.09866668621585532,-0.020482236023697364
80,0.2396388608080498,0.2701769271782986,0.07282421735472706,-0.02584246886112826
81,0.23662050029496381,0.24705066840295237,0.03860955487147626,-0.03421466248325081
82,0.23392869494556776,0.22356799828961907,-1.5942402893876e-05,-0.03862549727437013
